,production_budget_usd,worldwide_Gross_usd
975,70000000,250700000
976,2700000,15600000
977,125000000,238317814
978,46000000,298923419
979,4000000,12836
980,1000000,542909
981,80000000,241200000
982,115000000,178200000
983,100000000,121100000
984,50000000,10561038
985,5000000,14843425
986,55000000,174463257
987,25000000,64594061
988,85000000,315268353
989,40000000,87949859
990,80000000,142783718
991,70000000,131445884
992,3500000,257938649
993,60000000,26673242
994,16000000,1686429
995,15000000,63706632
996,50000000,48169156
997,25000000,41076865
998,450000,450349
999,26000000,5000
1000,95000000,263900000
1001,85000000,35681080
1002,35000000,126204977
1003,35000000,83226569
1004,50000000,62967368
1005,18000000,16011975
1006,7500000,43492389
1007,60000000,33956608
1008,55000000,11532774
1009,15000000,43111725
1010,5000000,7951247
1011,57000000,153007424
1012,17000000,125250091
1013,36000000,12532777
1014,38000000,6504442
1015,12000000,220175
1016,45000000,136998907
1017,15000000,31070412
1018,12000,413802
1019,90000000,165900000
1020,28000000,8165213
1021,60000000,159356941
1022,53000000,139801290
1023,20000000,13801755
1024,40000000,45916769
1025,35000000,25078937
1026,30000000,51327406
1027,80000000,177993801
1028,60000000,160700000
1029,50000000,80369970
1030,40000000,58250151
1031,24000000,101363301
1032,20000000,10686841
1033,5000000,21277770
1034,200000000,2207615668
1035,110000000,339504276
1036,38000000,61894591
1037,50000000,314111923
1038,80000000,20841123
1039,28000000,5686694
1040,15000000,64252038
1041,12000000,74727492
1042,12500000,1612957
1043,25000000,22411948
1044,4000000,302204
1045,2300000,574838
1046,140000000,554600000
1047,70000000,19870567
1048,8000000,17394881
1049,2650000,16556
1050,25000000,56042592
1051,45000000,11203026
1052,5000000,2080693
1053,80000000,71485043
1054,60000000,152457863
1055,17000000,30331165
1056,73000000,50168294
1057,29000000,54045832
1058,500000,367582
1059,68000,33598
1060,27000000,27257061
1061,10000000,45779
1062,80000000,136047317
1063,60000000,32983332
1064,15000000,11156471
1065,10000000,13835130
1066,35000000,56968169
1067,7000000,306715
1068,65000000,39017984
1069,20000000,55576699
1070,11900000,48856
1071,6000000,31716953
1072,27000000,10341093
1073,24000000,4356126
1074,20000000,26146072
1075,5000000,143273
1076,4500000,713413
1077,35000000,10319915
1078,20000000,37226218
1079,6000000,21787233
1080,2000000,72544
1081,15000000,29145924
1082,13000000,27066941
1083,6000000,58809149
1084,1000000,2315026
1085,60000000,264118201
1086,17000000,55041738
1087,60000000,186883563
1088,40000000,38172500
1089,30000000,29203383
1090,2000000,539961
1091,125000000,376000000
1092,18500000,13711903
1093,3500000,10317779
1094,30000000,81529000
1095,30000000,19035741
1096,20000000,15055091
1097,15000000,46189568
1098,4030000,2542264
1099,70000000,116625798
1100,25000000,82150642
1101,23000000,190191646
1102,9000000,4313644
1103,3500000,6451628
1104,90000000,303500000
1105,66000000,189176423
1106,650000,2301777
1107,71500000,294156605
1108,48000000,77562568
1109,2000000,7756617
1110,1500000,2380606
1111,73000000,103891409
1112,1000000,21210
1113,300000,10876
1114,22000000,360099999
1115,65000000,233700000
1116,55000000,1147784
1117,65000000,485035085
1118,15000000,19014238
1119,10000000,30143795
1120,50000000,49105766
1121,26000000,65705772
1122,5000000,23047939
1123,80000000,349464664
1124,13000000,8064972
1125,60000000,48585416
1126,20000000,37672944
1127,10000000,244465
1128,5000000,5502773
1129,45000000,131237688
1130,14000000,15064948
1131,1000000,3465703
1132,13000000,16757163
1133,250000,203134
1134,19000000,8123860
1135,60000000,12069719
1136,1300000,1647780
1137,1000000,1087521
1138,100000,6121582
1139,35000000,245300000
1140,30000000,26708196
1141,2000000,134624
1142,55000000,70692101
1143,14000000,72571864
1144,8000000,2256606
1145,1000000,22434
1146,55000000,198750909
1147,140000000,285400000
1148,40000000,71743823
1149,68000,4678513
1150,60000000,68336997
1151,53000000,22852487
1152,25000000,50692188
1153,3000000,5746453
1154,75000000,14623082
1155,1000000,627287
1156,20000000,20268825
1157,12000000,12905901
1158,10000000,6719864
1159,25000000,780326
1160,20000000,18310591
1161,12000000,22921898
1162,300000,373615
1163,250000,8969065
1164,70000000,117800000
1165,50000000,34645374
1166,26000000,279500000
1167,17000000,16316273
1168,10000000,19080435
1169,85000000,44650003
1170,24000000,40020622
1171,85000000,250649836
1172,45000000,363095319
1173,28000000,140894685
1174,12000000,6200000
1175,3000000,55193251
1176,2900000,17006158
1177,80000000,69131860
1178,15000000,10513979
1179,10000000,21094974
1180,80000000,164800000
1181,13000000,10020081
1182,10000000,25358996
1183,8000000,146083
1184,65000000,250800000
1185,60000000,218613188
1186,52000000,97709034
1187,80000000,50632037
1188,60000000,56709981
1189,50000000,202173000
1190,50000000,159745279
1191,15000000,40283321
1192,10000000,5045359
1193,34000000,11263966
1194,7000000,7824358
1195,48000000,107752036
1196,28000000,8891623
1197,17000000,11634458
1198,8000000,22591451
1199,1700000,2891228
1200,75000000,30626690
